,day,cals,type_meal,meal,link,title,Calories,Carbs,Fat,Protein,Fiber,receita,obs,Meal
15,3,2984,Breakfast,Homemade Turkey McMuffins,https://www.eatthismuch.com/food/browse/?q=Homemade%20Turkey%20McMuffins,Homemade Turkey McMuffins,438.0,285.0,223.0,314.0,44.0,"https://www.eatthismuch.com/recipe/nutrition/homemade-turkey-mcmuffins,927330/",1.0,"<a href=https://www.eatthismuch.com/recipe/nutrition/homemade-turkey-mcmuffins,927330/>Homemade Turkey McMuffins</a>"
16,3,2984,Breakfast,Crispy Hash Browns,https://www.eatthismuch.com/food/browse/?q=Crispy%20Hash%20Browns,Crispy Hash Browns,342.0,500.0,142.0,59.0,36.0,"https://www.eatthismuch.com/recipe/nutrition/crispy-hash-browns,1497791/",1.0,"<a href=https://www.eatthismuch.com/recipe/nutrition/crispy-hash-browns,1497791/>Crispy Hash Browns</a>"
17,3,2984,Lunch,Quick Avocado Tuna Sandwich,https://www.eatthismuch.com/food/browse/?q=Quick%20Avocado%20Tuna%20Sandwich,Quick Avocado Tuna Sandwich,1704.0,366.0,146.0,392.0,61.0,"https://www.eatthismuch.com/recipe/nutrition/quick-avocado-tuna-sandwich,1012832/",2.0,"<a href=https://www.eatthismuch.com/recipe/nutrition/quick-avocado-tuna-sandwich,1012832/>Quick Avocado Tuna Sandwich</a>"
18,3,2984,Dinner,Green Bean and Kidney Bean Salad,https://www.eatthismuch.com/food/browse/?q=Green%20Bean%20and%20Kidney%20Bean%20Salad,3 Bean Salad,4204.0,1910.0,83.0,651.0,502.0,"https://www.eatthismuch.com/recipe/nutrition/3-bean-salad,1012950/",2.0,"<a href=https://www.eatthismuch.com/recipe/nutrition/3-bean-salad,1012950/>Green Bean and Kidney Bean Salad</a>"
19,3,2984,Snack,Corn Tuna Salad,https://www.eatthismuch.com/food/browse/?q=Corn%20Tuna%20Salad,Corn Tuna Salad,252.0,173.0,64.0,346.0,24.0,"https://www.eatthismuch.com/recipe/nutrition/corn-tuna-salad,906535/",1.0,"<a href=https://www.eatthismuch.com/recipe/nutrition/corn-tuna-salad,906535/>Corn Tuna Salad</a>"
20,3,2984,Snack,Cinnamon Apple Bites,https://www.eatthismuch.com/food/browse/?q=Cinnamon%20Apple%20Bites,Cinnamon Apple Bites,81.0,216.0,2.0,5.0,28.0,"https://www.eatthismuch.com/recipe/nutrition/cinnamon-apple-bites,39304/",1.0,"<a href=https://www.eatthismuch.com/recipe/nutrition/cinnamon-apple-bites,39304/>Cinnamon Apple Bites</a>"
21,4,2988,Breakfast,Peanut Butter Pancakes,https://www.eatthismuch.com/food/browse/?q=Peanut%20Butter%20Pancakes,Chocolate Peanut Butter Pancakes,396.0,502.0,79.0,349.0,65.0,"https://www.eatthismuch.com/recipe/nutrition/chocolate-peanut-butter-pancakes,905782/",1.0,"<a href=https://www.eatthismuch.com/recipe/nutrition/chocolate-peanut-butter-pancakes,905782/>Peanut Butter Pancakes</a>"
22,4,2988,Lunch,Big PB&J Sandwich,https://www.eatthismuch.com/food/browse/?q=Big%20PB&J%20Sandwich,Big Bad Bean Burrito,976.0,309.0,119.0,76.0,113.0,"https://www.eatthismuch.com/recipe/nutrition/big-bad-bean-burrito,57131/",2.0,"<a href=https://www.eatthismuch.com/recipe/nutrition/big-bad-bean-burrito,57131/>Big PB&J Sandwich</a>"
23,4,2988,Lunch,Cherry Tomatoes with Feta,https://www.eatthismuch.com/food/browse/?q=Cherry%20Tomatoes%20with%20Feta,Cherry Tomatoes with Feta,408.0,70.0,63.0,54.0,19.0,"https://www.eatthismuch.com/recipe/nutrition/cherry-tomatoes-with-feta,905747/",2.0,"<a href=https://www.eatthismuch.com/recipe/nutrition/cherry-tomatoes-with-feta,905747/>Cherry Tomatoes with Feta</a>"
24,4,2988,Dinner,Chicken and Asparagus Lemon Stir-fry,https://www.eatthismuch.com/food/browse/?q=Chicken%20and%20Asparagus%20Lemon%20Stir-fry,Chicken and Asparagus Lemon Stir-fry,4056.0,349.0,302.0,1497.0,104.0,"https://www.eatthismuch.com/recipe/nutrition/chicken-and-asparagus-lemon-stir-fry,924550/",2.0,"<a href=https://www.eatthismuch.com/recipe/nutrition/chicken-and-asparagus-lemon-stir-fry,924550/>Chicken and Asparagus Lemon Stir-fry</a>"
